"Payload(Bytes)" "PCIe Write BW" "PCIe Write Trans/s" "PCIe Read BW" "PCIe Read Trans/s" "PCIe Read/Write BW" "PCIe Read/Write Trans/s" "40G Ethernet BW" "40G Ethernet PPS" 
98 46.50 59308161.5 48.07 61318607.7 38.85 49558874.7 33.22 42372881
99 46.59 58825981.3 48.16 60803325.2 38.98 49221739.5 33.28 42016806
100 46.68 58351578.3 48.24 60296630.9 39.11 48889160.2 33.33 41666666
101 46.77 57884765.6 48.32 59798311.6 39.24 48561045.0 33.39 41322314
102 46.86 57425362.7 48.40 59308161.5 39.36 48237304.7 33.44 40983606
103 46.95 56973194.5 48.47 58825981.3 39.48 47917852.3 33.50 40650406
104 47.03 56528091.4 48.55 58351578.3 39.61 47602603.3 33.55 40322580
105 47.12 56089889.2 48.62 57884765.6 39.72 47291475.2 33.60 40000000
106 47.20 55658428.5 48.70 57425362.7 39.84 46984387.7 33.65 39682539
107 47.28 55233555.0 48.77 56973194.5 39.96 46681262.6 33.70 39370078
108 47.36 54815119.0 48.84 56528091.4 40.07 46382023.7 33.75 39062500
109 47.44 54402975.2 48.91 56089889.2 40.19 46086596.8 33.80 38759689
110 47.52 53996982.9 48.98 55658428.5 40.30 45794909.5 33.85 38461538
111 47.59 53597005.2 49.05 55233555.0 40.41 45506891.2 33.89 38167938
112 47.67 53202909.6 49.11 54815119.0 40.52 45222473.1 33.94 37878787
113 47.74 52814567.2 49.18 54402975.2 40.63 44941588.2 33.98 37593984
114 47.82 52431852.9 49.25 53996982.9 40.73 44664171.0 34.03 37313432
115 47.89 52054645.3 49.31 53597005.2 40.84 44390157.7 34.07 37037037
116 47.96 51682826.5 49.37 53202909.6 40.94 44119486.0 34.12 36764705
117 48.03 51316281.6 49.43 52814567.2 41.05 43852095.2 34.16 36496350
118 48.10 50954899.3 49.50 52431852.9 41.15 43587925.9 34.20 36231884
119 48.17 50598571.4 49.56 52054645.3 41.25 43326920.4 34.24 35971223
120 48.24 50247192.4 49.62 51682826.5 41.35 43069022.0 34.29 35714285
121 48.30 49900660.0 49.67 51316281.6 41.44 42814175.8 34.33 35460992
122 48.37 49558874.7 49.73 50954899.3 41.54 42562327.7 34.37 35211267
123 48.43 49221739.5 49.79 50598571.4 41.64 42313425.2 34.41 34965034
124 48.50 48889160.2 49.85 50247192.4 41.73 42067416.9 34.44 34722222
